,num_yelp_bus,med_hh_income,est_num_damaged_bus,zip_code,2010 Census Population,Date,RegionID,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
90,7.0,92175,4377,77095,66502,2019-03-31,91744.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,203.0,227200.0,0.000440334654337296,0.0106761565836299,0.0402930402930403,0.0526352062500743,0.0335755191027107,2019-03,2019-Q1,227200.0,0.0,2019-03
91,73.0,61583,2542,77096,32628,2019-03-31,91745.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1874.0,356000.0,0.00821297082979326,0.0333817126269956,0.00338218714768884,0.0320166774347059,0.0358548763081574,2017-08,2017-Q3,376800.0,-0.0552016985138004,2016-07
92,276.0,87820,3493,77098,13076,2019-03-31,91747.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,4620.0,573100.0,0.000873209919664687,-0.00208950026118753,0.0355981207083484,0.0516628676373827,0.0380501608840136,2018-06,2018-Q2,577400.0,-0.007447177000346379,2018-05
93,6.0,38878,2313,77099,47091,2019-03-31,91748.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1369.0,148400.0,0.005420054200542,0.0150478796169631,0.0784883720930233,0.105931661523686,0.0418369761452737,2019-03,2019-Q1,148400.0,0.0,2019-03
94,,67563,741,77336,12471,,,,,,,,,,,,,,,,,,
95,8.0,50263,3320,77338,33971,2019-03-31,91852.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Humble,1847.0,158200.0,0.00317057704502219,0.0173633440514469,0.0589022757697456,0.075773465068983,0.0342196941293802,2019-03,2019-Q1,158200.0,0.0,2019-03
96,2.0,73466,3470,77339,37512,2019-03-31,91853.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1254.0,214700.0,-0.000465549348230912,0.0075082121069920205,0.0382011605415861,0.0660981404992431,0.0381142556168621,2019-02,2019-Q1,214800.0,-0.000465549348230912,2019-02
97,,128646,1730,77345,26122,2019-03-31,91859.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,4766.0,296700.0,-0.000336927223719677,0.0136658694909464,0.0078125,0.0369276819449607,0.0302675546452738,2019-02,2019-Q1,296800.0,-0.000336927223719677,2019-02
98,1.0,98840,3607,77346,53578,2019-03-31,91860.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Atascocita,455.0,219900.0,0.00227894257064722,0.0133640552995392,0.0348235294117647,0.0541905431414651,0.0335448705778956,2019-03,2019-Q1,219900.0,0.0,2019-03
99,3.0,67924,2901,77373,54609,2019-03-31,91883.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Spring,549.0,167300.0,0.0048048048048048,0.0276412776412776,0.110889774236388,0.0914766194099423,0.0377467828264848,2019-03,2019-Q1,167300.0,0.0,2019-03
100,6.0,69446,3573,77375,39351,2019-03-31,91885.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Tomball,480.0,213000.0,0.004716981132075471,0.0215827338129496,0.0482283464566929,0.0668795556834427,0.0372893305546622,2019-03,2019-Q1,213000.0,0.0,2019-03
101,5.0,96064,2584,77377,28708,2019-03-31,91887.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Tomball,2468.0,270100.0,0.00222634508348794,0.00708426547352722,0.0215582450832073,0.0519260998720399,0.0333810609515712,2019-03,2019-Q1,270100.0,0.0,2019-03
102,4.0,99693,6460,77379,70544,2019-03-31,91889.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Spring,78.0,254500.0,0.0007864726700747151,0.0091197462331483,0.0413256955810147,0.054487885410090996,0.0342684715591157,2019-03,2019-Q1,254500.0,0.0,2019-03
103,3.0,87574,3318,77388,40384,2019-03-31,91898.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Spring,1157.0,208800.0,0.00191938579654511,0.0155642023346304,0.0508303975842979,0.0645799718688713,0.035717503799265,2019-03,2019-Q1,208800.0,0.0,2019-03
104,,115725,2080,77389,21255,2019-03-31,91899.0,TX,Houston-The Woodlands-Sugar Land,Montgomery County,The Woodlands,2686.0,313100.0,-0.0025485823510672198,0.0035256410256410296,0.0126131953428202,0.0364364666506989,0.0270306128896618,2019-02,2019-Q1,313900.0,-0.0025485823510672198,2019-01
